Date,Argentina,Percentage,Australia,Percentage,Brazil,Percentage,Canada,Percentage,China,Percentage,France,Percentage,Germany,Percentage,India,Percentage,Indonesia,Percentage,Italy,Percentage,Japan,Percentage,Mexico,Percentage,Russia,Percentage,Saudi Arabia,Percentage,South Africa,Percentage,South Korea,Percentage,Turkiya,Percentage,UK,Percentage,US,Percentage
12/31/2023,"929,704.19",360%,"7,590.80",8%,"134,185",22%,"20,958.44",8%,"5,887.12",-6%,"7,543.18",17%,"16,751.64",20%,"72,240.26",19%,"7,272.80",6%,"32,479.11",0.262797843,"33,464.17",28%,"57,386.25",18%,"3,099.11",44%,"11,967.39",14%,"70,494.80",5%,"2,655.28",19%,"7,470.18",36%,"7,733.24",4%,"4,769.83",24%
12/31/2022,"202,085.13",142%,"7,038.70",-5%,"109,735",5%,"19,384.92",-9%,"6,281.68",-22%,"6,473.76",-9%,"13,923.59",-12%,"60,840.74",4%,"6,850.62",4%,"25,719.96",-0.141004125,"26,094.50",-9%,"48,463.86",-9%,"2,154.12",-43%,"10,478.46",-7%,"66,955.47",0%,"2,236.40",-25%,"5,509.16",197%,"7,451.74",1%,"3,839.50",-19%
12/31/2021,"83,500.11",63%,"7,444.60",13%,"104,822",-12%,"21,222.84",22%,"8,011.00",21%,"7,153.03",29%,"15,884.86",16%,"58,253.82",22%,"6,581.48",10%,"29,941.89",0.237128621,"28,791.71",5%,"53,272.44",21%,"3,787.26",15%,"11,281.71",30%,"67,052.40",23%,"2,977.65",4%,"1,857.65",26%,"7,384.54",14%,"4,766.18",27%
12/31/2020,"51,226.49",23%,"6,587.10",-1%,"119,017",3%,"17,433.36",2%,"6,646.47",19%,"5,551.41",-7%,"13,718.78",4%,"47,751.33",16%,"5,979.07",-5%,"24,202.73",-0.055648419,"27,444.17",16%,"44,066.88",1%,"3,289.02",8%,"8,689.53",4%,"54,379.58",7%,"2,873.47",31%,"1,476.72",29%,"6,460.52",-14%,"3,756.07",16%
12/31/2019,"41,671.41",38%,"6,684.10",18%,"115,645",32%,"17,063.43",19%,"5,567.03",26%,"5,978.06",26%,"13,249.01",25%,"41,253.74",14%,"6,299.54",2%,"25,628.94",0.272018797,"23,656.62",18%,"43,541.02",5%,"3,045.87",29%,"8,389.23",7%,"50,816.05",9%,"2,197.67",8%,"1,144.25",25%,"7,542.44",12%,"3,230.78",29%
12/31/2018,"30,292.55",1%,"5,646.40",-7%,"87,887",15%,"14,322.86",-12%,"4,430.02",-37%,"4,730.69",-11%,"10,558.96",-18%,"36,068.33",6%,"6,194.50",-3%,"20,148.24",-0.167148647,"20,014.77",-12%,"41,640.27",-16%,"2,369.33",12%,"7,826.73",8%,"46,726.59",-11%,"2,041.04",-17%,912.7,-21%,"6,728.13",-12%,"2,506.85",-6%
12/31/2017,"30,065.61",78%,"6,065.10",7%,"76,402",27%,"16,209.13",6%,"7,017.35",-17%,"5,312.56",9%,"12,917.64",13%,"34,056.83",28%,"6,355.65",20%,"24,191.88",0.155489366,"22,764.94",19%,"49,354.42",8%,"2,109.74",-6%,"7,226.32",0%,"52,533.04",20%,"2,467.49",22%,"1,153.33",48%,"7,687.77",8%,"2,673.61",19%
12/31/2016,"16,917.86",45%,"5,665.80",7%,"60,227",39%,"15,287.59",18%,"8,490.92",-20%,"4,862.31",5%,"11,481.06",7%,"26,626.46",2%,"5,296.71",15%,"20,936.48",-0.09895437,"19,114.37",0%,"45,642.90",6%,"2,232.72",27%,"7,210.43",4%,"43,901.99",-4%,"2,026.46",3%,781.39,9%,"7,142.83",14%,"2,238.83",10%
12/31/2015,"11,675.18",36%,"5,295.90",-2%,"43,350",-13%,"13,009.95",-11%,"10,614.38",76%,"4,637.06",9%,"10,743.01",10%,"26,117.54",-5%,"4,593.01",-12%,"23,235.76",0.153841494,"19,033.71",9%,"42,977.50",0%,"1,761.36",26%,"6,911.76",-17%,"45,797.30",4%,"1,961.31",2%,717.27,-16%,"6,242.32",-5%,"2,043.94",-1%
12/31/2014,"8,579.02",59%,"5,411.00",1%,"50,007",-3%,"14,632.44",7%,"6,027.52",34%,"4,272.75",-1%,"9,805.55",3%,"27,499.42",30%,"5,226.95",22%,"20,137.74",-0.003265735,"17,450.77",7%,"43,145.66",1%,"1,396.61",-7%,"8,333.30",-2%,"43,969.96",6%,"1,915.59",-5%,857.21,26%,"6,566.09",-3%,"2,058.90",11%
