Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
Microsoft DRC,Argentina,2557400000,36.97,0.1
Apple DRC,Argentina,2364020000,28.31,0.03
NVIDIA,Argentina,1627070000,65.68,0
Broadcom,Argentina,512490000,34.55,0.34
Taiwan Semiconductor Manufacturing Co,Argentina,480100000,19.98,0.19
Visa,Argentina,478220000,32.69,0.12
Mastercard,Argentina,369070000,39.57,0.08
Oracle,Argentina,258010000,30.05,0.34
SAP SE DRC,Argentina,179370000,32.42,0.24
Cisco Systems DRC,Argentina,165940000,14.86,0.32
Telstra Group,Australia,44720,21.99,0.17
Wisetech Global,Australia,29090,130.1,0.16
Rea Group,Australia,24760,87.67,1.7
Carsales.Com,Australia,13330,37.6,0.67
Spark New Zealand,Australia,8830,8.5,0.32
Altium,Australia,8650,85.49,0.54
Technology One,Australia,5410,52.4,0.2
Chorus,Australia,3240,140.71,0.42
Dicker Data,Australia,2170,28.13,0.45
Domain Australia,Australia,2090,56.9,0.06
Microsoft Corp BDR,Brazil,15230000,36.97,0.41
Apple Inc BDR,Brazil,14080000,28.31,0.16
Nvidia,Brazil,9640000,63.42,0.01
Broadcom,Brazil,3040000,34.55,1
Taiwan Semiconductor Manufacturing Co,Brazil,2850000,19.98,0.92
Visa Inc BDR,Brazil,2850000,32.69,0.34
MasterCard Inc BDR,Brazil,2210000,39.95,0.28
ASML Holding NV,Brazil,1840000,41.93,0.48
Oracle Corp BDR,Brazil,1540000,30.05,0.87
Cisco Systems Inc BDR,Brazil,988190,14.86,1.08
Constellation Software,Canada,79470,111.21,4
BCE Inc,Canada,46310,22.28,3.99
TELUS,Canada,35900,42.16,1.5
Rogers Communications,Canada,32800,38.11,2
Quebecor,Canada,6870,10.82,1.3
Enghouse Systems,Canada,1940,26.72,0.88
Evertz Technologies,Canada,1100,15.97,0.78
Softchoice,Canada,1030,15.04,0.44
Dye & Durham,Canada,889.3,-4.23,0.07
Computer Modelling Group,Canada,828.6,34.17,0.2
China National Software,China,26200,1.85,0.02
Jiangsu Information Network,China,15600,42.78,0.02
Shanghai 2345 Network Holding,China,15600,68.29,0.02
Shanghai Kingstar Winning Software,China,14880,122.68,0.01
Topsec Technologies,China,8380,40.4,0.02
Shenzhen FRD Science,China,7930,44.8,0.01
Nanjing Panda Electro,China,7860,2.16,0.01
Sumavision Technologies,China,7590,106.4,0.01
Guomai Tech A,China,7260,63.98,0.01
Unilumin,China,7220,6.62,0.01
Dassault Systemes,France,57050,54.23,0.21
Capgemini,France,38550,23.19,3.4
STMicroelectronics,France,37500,9.64,0.24
Orange,France,28540,12.61,0.7
Nokia Oyj,France,18140,27.25,0.13
Itissalat Al-Maghrib,France,8250,16.94,2.19
Alten,France,4840,11.1,1.5
Sopra Steria,France,4640,18.74,4.65
Eutelsat,France,1820,3.04,0.93
Exclusive Networks,France,1570,37.02,0.2
Comba Telecom Systems,Germany,204.46,8.29,0.02
Valuetronics Holdings Ltd,Germany,169.08,9.78,0.04
MSG Life,Germany,126.7,14.08,0.04
Beta Systems Software,Germany,142.6,20.13,0.04
Q Soft Verwaltungs,Germany,3.34,24.77,0.04
11 AG,Germany,3010,9.29,0.05
Netgem,Germany,32.08,60,0.05
11 AG,Germany,3010,9.29,0.05
11 AG,Germany,3010,9.29,0.05
Vodafone Group PLC,Germany,21000,2.01,0.09
Vodafone Group PLC,Germany,20960,2.01,0.09
SHS Viveon,Germany,4.18,8.9,0.1
Softing AG,Germany,49.58,15.9,0.1
Vakrangee,India,27970,975.93,0.05
Infibeam Avenues,India,95320,63.77,0.05
Magellanic Cloud,India,72380,88.05,0.15
HFCL,India,161570,54.57,0.2
