,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Microsoft DRC,Argentina,2557400000.0,36.97,0.1
1,Apple DRC,Argentina,2364020000.0,28.31,0.03
2,NVIDIA,Argentina,1627070000.0,65.68,0.0
3,Broadcom,Argentina,512490000.0,34.55,0.34
4,Taiwan Semiconductor Manufacturing Co,Argentina,480100000.0,19.98,0.19
5,Visa,Argentina,478220000.0,32.69,0.12
6,Mastercard,Argentina,369070000.0,39.57,0.08
7,Oracle,Argentina,258010000.0,30.05,0.34
8,SAP SE DRC,Argentina,179370000.0,32.42,0.24
9,Cisco Systems DRC,Argentina,165940000.0,14.86,0.32
