,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,China National Software,China,26200.0,1.85,0.02
1,Jiangsu Information Network,China,15600.0,42.78,0.02
2,Shanghai 2345 Network Holding,China,15600.0,68.29,0.02
3,Shanghai Kingstar Winning Software,China,14880.0,122.68,0.01
4,Topsec Technologies,China,8380.0,40.4,0.02
5,Shenzhen FRD Science,China,7930.0,44.8,0.01
6,Nanjing Panda Electro,China,7860.0,2.16,0.01
7,Sumavision Technologies,China,7590.0,106.4,0.01
8,Guomai Tech A,China,7260.0,63.98,0.01
9,Unilumin,China,7220.0,6.62,0.01
