,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Telkom Indonesia,Indonesia,405160000.0,17.16,167.6
1,Dayamitra Telekomunikasi PT,Indonesia,53720000.0,29.55,15.12
2,Sarana Menara Nusantara,Indonesia,46310000.0,14.0,24.1
3,Tower Bersama,Indonesia,43120000.0,27.96,60.35
4,XL Axiata,Indonesia,30200000.0,24.06,42.0
5,Metrodata Electronics,Indonesia,7180000.0,11.86,14.5
6,Inti Bangun Sejahtera,Indonesia,6480000.0,162.93,618.0
7,Bali Towerindo Sentra,Indonesia,4680000.0,25.06,32.34
8,Multipolar Technology,Indonesia,2890000.0,8.42,381.0
9,Gihon Telekom,Indonesia,1020000.0,9.84,128.0
