,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Neosem,South Korea,529970.0,27.07,30.0
1,Fine Semitech,South Korea,450720.0,10.82,50.0
2,Solid,South Korea,383380.0,10.4,50.0
3,Huyndai Movex,South Korea,374840.0,40.48,30.0
4,Galaxia Moneytree,South Korea,368760.0,451.16,45.0
5,HB Solution,South Korea,262960.0,9.04,30.0
6,Rsupport,South Korea,253670.0,61.14,20.0
7,New Power Plasma,South Korea,210830.0,17.35,50.0
8,GO Element,South Korea,155290.0,22.06,50.0
9,Auk Corp,South Korea,133970.0,7.56,50.0
