,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Turkcell,Turkey,149260.0,8.51,1.03
1,Turk Telekom,Turkey,116060.0,20.84,1.42
2,Ingram Micro Bilisim,Turkey,18670.0,191.07,5.34
3,Atp Ticari Bilgisayar Ağı ve Elektrik,Turkey,13420.0,60.53,0.3
4,Logo Yazilim,Turkey,11300.0,20.85,1.5
5,Ard Grup Bilisim,Turkey,10860.0,8.57,0.02
6,Indeks,Turkey,8500.0,10.91,0.85
7,Forte Bilgi Iletisim Teknolojileri,Turkey,6220.0,27.88,0.53
8,Arena Bilgisayar,Turkey,5300.0,22.62,0.1
9,Papilon Guvenlik,Turkey,5210.0,27.71,0.06
