,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Baltic Classifieds Group,United Kingdom,1190.0,46.96,0.03
1,Panasonic,United Kingdom,3310000.0,6.54,0.05
2,11 AG,United Kingdom,3010.0,9.29,0.05
3,Airtel Africa,United Kingdom,3500.0,36.14,0.06
4,Hexagon B,United Kingdom,326370.0,34.02,0.12
5,Nokia Oyj,United Kingdom,18140.0,27.25,0.13
6,Koninklijke KPN,United Kingdom,13400.0,16.92,0.14
7,Acer DRC,United Kingdom,4350.0,45.49,0.17
8,Telecom Egypt DRC,United Kingdom,2270.0,62.51,0.17
9,Telefonica Deutschland AG,United Kingdom,7080.0,28.25,0.18
